,Country,Date of reporting,Age group,Confirmed cases,Confirmed fatalities
0,Argentina,28 May2020,0-9,1002,0
1,Argentina,28 May2020,10-19,1080,1
2,Argentina,28 May2020,20-29,2813,1
3,Argentina,28 May2020,30-39,3142,9
4,Argentina,28 May2020,40-49,2508,24
5,Argentina,28 May2020,50-59,1812,54
6,Argentina,28 May2020,60-69,1005,101
7,Argentina,28 May2020,70-79,651,123
8,Argentina,28 May2020,80+,662,194
9,China,17 February2020,0-9,416,0
10,China,17 February2020,10-19,549,1
11,China,17 February2020,20-29,3619,7
12,China,17 February2020,30-39,7600,18
13,China,17 February2020,40-49,8571,38
14,China,17 February2020,50-59,10008,130
15,China,17 February2020,60-69,8583,309
16,China,17 February2020,70-79,3918,312
17,China,17 February2020,80+,1408,208
18,Colombia,28 May2020,0-9,1105,5
19,Colombia,28 May2020,10-19,1950,1
20,Colombia,28 May2020,20-29,5614,13
21,Colombia,28 May2020,30-39,5615,24
22,Colombia,28 May2020,40-49,4033,61
23,Colombia,28 May2020,50-59,3286,121
24,Colombia,28 May2020,60-69,1961,192
25,Colombia,28 May2020,70-79,1117,214
26,Colombia,28 May2020,80+,685,191
27,Diam. Princ.,26 March2020,0-9,1,0
28,Diam. Princ.,26 March2020,10-19,5,0
29,Diam. Princ.,26 March2020,20-29,28,0
30,Diam. Princ.,26 March2020,30-39,34,0
31,Diam. Princ.,26 March2020,40-49,27,0
32,Diam. Princ.,26 March2020,50-59,59,0
33,Diam. Princ.,26 March2020,60-69,177,0
34,Diam. Princ.,26 March2020,70-79,234,3
35,Diam. Princ.,26 March2020,80+,54,4
36,Italy,26 May2020,0-9,1919,4
37,Italy,26 May2020,10-19,3442,0
38,Italy,26 May2020,20-29,12933,12
39,Italy,26 May2020,30-39,17934,62
40,Italy,26 May2020,40-49,29942,273
41,Italy,26 May2020,50-59,41435,1109
42,Italy,26 May2020,60-69,30880,3259
43,Italy,26 May2020,70-79,33141,8562
44,Italy,26 May2020,80+,59134,18395
45,Netherlands,28 May2020,0-9,128,0
46,Netherlands,28 May2020,10-19,587,1
47,Netherlands,28 May2020,20-29,4336,3
48,Netherlands,28 May2020,30-39,4093,10
49,Netherlands,28 May2020,40-49,5269,28
50,Netherlands,28 May2020,50-59,8437,142
51,Netherlands,28 May2020,60-69,5949,484
52,Netherlands,28 May2020,70-79,6229,1596
53,Netherlands,28 May2020,80+,10919,3639
54,Portugal,28 May2020,0-9,626,0
55,Portugal,28 May2020,10-19,1052,0
56,Portugal,28 May2020,20-29,4114,1
57,Portugal,28 May2020,30-39,4736,1
58,Portugal,28 May2020,40-49,5315,15
59,Portugal,28 May2020,50-59,5253,42
60,Portugal,28 May2020,60-69,3484,122
61,Portugal,28 May2020,70-79,2537,269
62,Portugal,28 May2020,80+,4479,919
63,South Africa,28 May2020,0-9,755,2
64,South Africa,28 May2020,10-19,1147,1
65,South Africa,28 May2020,20-29,5319,4
66,South Africa,28 May2020,30-39,7720,33
67,South Africa,28 May2020,40-49,5754,61
68,South Africa,28 May2020,50-59,3753,144
69,South Africa,28 May2020,60-69,1663,153
70,South Africa,28 May2020,70-79,754,113
71,South Africa,28 May2020,80+,415,66
72,Spain,29 May2020,0-9,1123,3
73,Spain,29 May2020,10-19,2068,5
74,Spain,29 May2020,20-29,15272,24
75,Spain,29 May2020,30-39,24902,65
76,Spain,29 May2020,40-49,37970,218
77,Spain,29 May2020,50-59,45750,663
78,Spain,29 May2020,60-69,36355,1825
79,Spain,29 May2020,70-79,34294,4896
80,Spain,29 May2020,80+,61026,12886
81,Sweden,18 May2020,0-9,168,1
82,Sweden,18 May2020,10-19,401,0
83,Sweden,18 May2020,20-29,3104,8
84,Sweden,18 May2020,30-39,4051,12
85,Sweden,18 May2020,40-49,4962,39
86,Sweden,18 May2020,50-59,6190,129
87,Sweden,18 May2020,60-69,4186,294
88,Sweden,18 May2020,70-79,3888,909
89,Sweden,18 May2020,80+,7482,2733
90,Switzerland,26 May2020,0-9,162,0
91,Switzerland,26 May2020,10-19,877,0
92,Switzerland,26 May2020,20-29,3844,0
93,Switzerland,26 May2020,30-39,4136,5
94,Switzerland,26 May2020,40-49,4809,4
95,Switzerland,26 May2020,50-59,6232,37
96,Switzerland,26 May2020,60-69,3671,121
97,Switzerland,26 May2020,70-79,2896,335
98,Switzerland,26 May2020,80+,4080,1146
99,South Korea,25 May2020,0-9,149,0
100,South Korea,25 May2020,10-19,636,0
101,South Korea,25 May2020,20-29,3117,0
102,South Korea,25 May2020,30-39,1235,2
103,South Korea,25 May2020,40-49,1481,3
104,South Korea,25 May2020,50-59,1987,15
105,South Korea,25 May2020,60-69,1375,39
106,South Korea,25 May2020,70-79,719,78
107,South Korea,25 May2020,80+,491,129
